status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,unknown/ no savings account,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",35,none,O83996,2018/5/14,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,male : single,none,2,real estate,24,none,x44063,2018/2/1,rent,1,unemployed/ unskilled - non-resident,1,none,yes,0
... < 0 DM,36,existing credits paid back duly till now,car (new),9271,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",24,none,B52980,2018/2/23,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,590,... < 100 DM,... < 1 year,3,male : single,none,3,real estate,26,none,e41479,2018/2/15,own,1,unskilled - resident,1,none,no,0
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,65,none,J52740,2018/10/12,own,4,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,42,all credits at this bank paid back duly,car (used),9283,... < 100 DM,unemployed,1,male : single,none,2,unknown / no property,55,bank,D83568,2018/5/18,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,... < 100 DM,... < 1 year,2,male : single,none,1,real estate,26,none,P53216,2018/10/1,rent,2,unemployed/ unskilled - non-resident,1,none,yes,1
0 <= ... < 200 DM,8,existing credits paid back duly till now,business,907,... < 100 DM,... < 1 year,3,male : single,none,2,real estate,26,none,C58586,2018/7/29,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,484,... < 100 DM,4 <= ... < 7 years,3,male : single,guarantor,3,real estate,28,bank,s34793,2018/8/9,own,1,unskilled - resident,1,none,yes,0
... < 0 DM,36,critical account/ other credits existing (not at this bank),car (used),9629,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",24,none,K13017,2018/9/12,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",54,none,W80110,2018/2/26,own,1,skilled employee / official,1,none,yes,1
... < 0 DM,48,existing credits paid back duly till now,car (new),3931,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,46,none,w74716,2018/1/21,for free,1,skilled employee / official,2,none,yes,1
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),7432,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,54,none,W54103,2018/6/3,rent,1,skilled employee / official,1,none,yes,0
no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,62,none,L16704,2018/7/7,own,1,skilled employee / official,1,none,yes,0
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1554,... < 100 DM,4 <= ... < 7 years,1,male : single,none,2,"car or other, not in attribute Savings account/bonds",24,none,r38671,2018/6/10,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,36,existing credits paid back duly till now,others,15857,... < 100 DM,unemployed,2,male : single,co-applicant,3,"car or other, not in attribute Savings account/bonds",43,none,k83029,2018/12/29,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
... < 0 DM,18,existing credits paid back duly till now,radio/television,1345,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,26,bank,K91671,2018/9/9,own,1,skilled employee / official,1,none,yes,1
no checking account,12,existing credits paid back duly till now,car (new),1101,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,27,none,O72718,2018/12/3,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3016,... < 100 DM,1 <= ... < 4 years,3,male : single,none,1,"car or other, not in attribute Savings account/bonds",24,none,x45124,2018/8/7,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,... < 100 DM,... >= 7 years,2,male : single,none,2,building society savings agreement/ life insurance,41,bank,Y70132,2018/1/16,own,1,skilled employee / official,2,none,yes,1
... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),731,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,47,none,p51103,2018/3/12,own,2,unskilled - resident,1,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,... < 100 DM,... < 1 year,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",35,none,q21856,2018/2/7,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,... < 100 DM,... >= 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",30,none,b49014,2018/10/21,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,... < 100 DM,... >= 7 years,1,male : single,none,4,real estate,33,bank,L14638,2018/3/21,rent,3,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,18,no credits taken/ all credits paid back duly,business,4165,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",36,stores,y65937,2018/11/25,own,2,skilled employee / official,2,none,yes,1
... < 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,... >= 7 years,3,male : single,none,4,unknown / no property,47,none,Z42106,2018/10/11,for free,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,38,none,N80752,2018/11/3,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,0
no checking account,24,delay in paying off in the past,business,2375,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",44,none,o48390,2018/9/17,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,0
... < 0 DM,18,existing credits paid back duly till now,car (new),1216,... < 100 DM,... < 1 year,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",23,none,a69656,2018/2/11,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,45,no credits taken/ all credits paid back duly,business,11816,... < 100 DM,... >= 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",29,none,j67498,2018/1/6,rent,2,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,... >= 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",42,none,W61538,2018/11/12,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,... < 100 DM,... < 1 year,2,male : single,none,3,real estate,25,none,m39412,2018/6/20,own,1,unskilled - resident,1,none,yes,1
... < 0 DM,12,no credits taken/ all credits paid back duly,car (new),1082,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",48,bank,P66289,2018/2/25,own,2,skilled employee / official,1,none,yes,1
no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",21,none,V87150,2018/1/22,own,1,skilled employee / official,1,none,yes,0
no checking account,4,existing credits paid back duly till now,furniture/equipment,601,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,23,none,J45024,2018/6/24,rent,1,unskilled - resident,2,none,yes,0
... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,63,none,Y93084,2018/8/10,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,... < 100 DM,... >= 7 years,4,male : single,co-applicant,3,real estate,46,none,y53076,2018/2/6,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,29,none,p89230,2018/9/18,own,1,skilled employee / official,1,none,yes,1
no checking account,21,delay in paying off in the past,car (used),2993,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,28,stores,T55191,2018/11/24,own,2,unskilled - resident,1,none,yes,0
no checking account,18,existing credits paid back duly till now,repairs,1943,... < 100 DM,... < 1 year,4,male : single,none,4,real estate,23,none,O53911,2018/2/19,own,1,skilled employee / official,1,none,yes,1
no checking account,24,all credits at this bank paid back duly,business,1559,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",50,bank,U57478,2018/1/7,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,bank,y84593,2018/9/10,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,"car or other, not in attribute Savings account/bonds",35,none,e35098,2018/4/29,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",68,none,S55827,2018/9/3,rent,2,skilled employee / official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,car (new),1249,... < 100 DM,... < 1 year,4,male : single,none,2,real estate,28,none,n32918,2018/11/15,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,9,existing credits paid back duly till now,radio/television,1364,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,real estate,59,none,c48736,2018/9/24,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,radio/television,709,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,57,stores,q36318,2018/7/2,own,1,unskilled - resident,1,none,yes,1
... < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,2,building society savings agreement/ life insurance,33,bank,k18525,2018/2/16,rent,2,skilled employee / official,1,none,no,1
no checking account,24,critical account/ other credits existing (not at this bank),car (used),4042,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/ life insurance,43,none,z94692,2018/10/25,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,35,none,Y20709,2018/6/1,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,18,all credits at this bank paid back duly,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,32,none,i84648,2018/3/17,for free,2,unskilled - resident,2,none,yes,1
no checking account,36,delay in paying off in the past,car (new),10875,... < 100 DM,... >= 7 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",45,none,j58190,2018/8/4,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= ... < 500 DM,... < 1 year,4,male : single,none,3,real estate,33,none,E81105,2018/7/27,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,40,none,H76362,2018/8/23,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,unknown / no property,28,none,I74413,2018/4/9,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,15,existing credits paid back duly till now,car (new),3959,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,29,none,k78989,2018/7/23,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,none,g31671,2018/9/4,rent,1,skilled employee / official,2,none,no,0
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,27,none,E71535,2018/4/13,own,2,skilled employee / official,1,none,yes,0
no checking account,18,delay in paying off in the past,business,2169,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",28,none,o96319,2018/12/2,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,24,existing credits paid back duly till now,radio/television,2439,... < 100 DM,... < 1 year,4,male : single,none,4,real estate,35,none,k48311,2018/1/28,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,... >= 1000 DM,... < 1 year,4,male : single,none,2,real estate,32,stores,B12731,2018/1/2,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,0
no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,25,bank,m95516,2018/10/15,rent,1,unskilled - resident,1,none,yes,1
no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",20,none,s30171,2018/10/21,rent,1,skilled employee / official,1,none,yes,0
... < 0 DM,18,existing credits paid back duly till now,radio/television,2389,... < 100 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute Savings account/bonds",27,stores,c70640,2018/3/26,own,1,skilled employee / official,1,none,yes,0
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,42,stores,p90655,2018/8/8,own,1,skilled employee / official,1,none,yes,0
no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,... >= 7 years,3,male : single,none,2,building society savings agreement/ life insurance,37,none,a65177,2018/4/15,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,24,none,O21919,2018/9/4,rent,1,skilled employee / official,1,none,yes,0
no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,l29784,2018/7/16,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,... >= 7 years,1,male : single,none,4,real estate,46,none,y45543,2018/4/17,own,2,skilled employee / official,2,none,no,0
... < 0 DM,24,critical account/ other credits existing (not at this bank),business,1382,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,26,none,K38531,2018/4/7,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,... < 1 year,4,male : single,none,1,real estate,24,none,H71539,2018/3/2,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,2,building society savings agreement/ life insurance,29,none,k51499,2018/4/23,own,1,unskilled - resident,2,none,yes,0
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,e20201,2018/6/21,own,2,skilled employee / official,1,none,yes,0
... < 0 DM,18,all credits at this bank paid back duly,radio/television,1940,... < 100 DM,... < 1 year,3,male : single,co-applicant,4,unknown / no property,36,bank,S81171,2018/4/15,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,36,existing credits paid back duly till now,radio/television,3595,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",28,none,h64265,2018/3/19,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,9,existing credits paid back duly till now,car (new),1422,... < 100 DM,... < 1 year,3,male : single,none,2,unknown / no property,27,none,s20443,2018/9/23,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/ life insurance,36,none,I64453,2018/6/3,own,2,skilled employee / official,1,none,yes,0
no checking account,24,existing credits paid back duly till now,car (used),7814,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",38,none,E43894,2018/7/4,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown / no property,48,none,I68841,2018/1/1,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,36,none,N24113,2018/10/3,own,2,skilled employee / official,1,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,... < 100 DM,unemployed,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",65,none,Y86076,2018/12/25,own,2,unemployed/ unskilled - non-resident,1,none,yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",43,none,c52770,2018/5/6,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
... < 0 DM,12,existing credits paid back duly till now,education,795,... < 100 DM,... < 1 year,4,male : single,none,4,building society savings agreement/ life insurance,53,none,V85527,2018/5/14,own,1,skilled employee / official,1,none,yes,1
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,34,none,C39844,2018/5/18,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,48,existing credits paid back duly till now,business,15672,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",23,none,I62236,2018/4/9,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",34,none,Q21219,2018/7/6,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,... < 1 year,3,male : single,guarantor,4,real estate,40,bank,e54728,2018/9/1,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,0
... < 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",43,stores,B78482,2018/3/7,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",46,none,n96566,2018/11/20,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/ life insurance,38,bank,l72060,2018/7/24,own,2,unskilled - resident,1,none,no,0
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,"car or other, not in attribute Savings account/bonds",34,none,M54928,2018/5/20,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,3,building society savings agreement/ life insurance,29,none,e65168,2018/1/1,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,stores,o89890,2018/3/27,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
... < 0 DM,21,existing credits paid back duly till now,radio/television,2606,... < 100 DM,... < 1 year,4,male : single,none,4,building society savings agreement/ life insurance,28,none,R51180,2018/2/18,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1592,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,35,none,j23948,2018/1/30,own,1,skilled employee / official,1,none,no,0
no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4 <= ... < 7 years,1,male : single,none,4,real estate,33,bank,C69987,2018/6/26,rent,1,unskilled - resident,1,none,yes,0
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute Savings account/bonds",42,none,o86322,2018/1/16,own,1,skilled employee / official,1,none,yes,1
... < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,... < 100 DM,... >= 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,43,bank,P36910,2018/1/2,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account,... < 1 year,2,male : single,none,4,real estate,44,none,e91408,2018/9/19,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,... >= 7 years,2,male : single,none,4,unknown / no property,42,none,h77759,2018/9/25,for free,2,skilled employee / official,1,none,yes,0
no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,real estate,40,none,T17965,2018/8/10,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1278,... < 100 DM,... >= 7 years,4,male : single,none,1,real estate,36,none,U50600,2018/9/12,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... < 0 DM,12,existing credits paid back duly till now,radio/television,1107,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,20,none,Z51034,2018/11/17,rent,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
... < 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 <= ... < 7 years,2,male : single,co-applicant,2,real estate,24,none,M27614,2018/4/1,own,1,unskilled - resident,1,none,no,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,3711,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",27,none,K39412,2018/8/5,own,1,skilled employee / official,1,none,yes,0
no checking account,15,delay in paying off in the past,car (used),3594,... < 100 DM,... < 1 year,1,male : married/widowed,none,2,building society savings agreement/ life insurance,46,none,u96671,2018/6/3,own,2,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1 <= ... < 4 years,1,male : married/widowed,none,2,real estate,33,none,A74515,2018/11/5,own,1,unskilled - resident,1,none,yes,0
no checking account,36,delay in paying off in the past,radio/television,4454,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,34,none,S18656,2018/2/8,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,... < 100 DM,... < 1 year,2,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",25,bank,y66707,2018/3/5,own,1,unskilled - resident,1,none,yes,1
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,... >= 7 years,2,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",25,none,x43995,2018/11/10,own,1,skilled employee / official,1,none,yes,0
no checking account,11,existing credits paid back duly till now,business,2142,... >= 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,28,none,V24140,2018/4/26,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,24,all credits at this bank paid back duly,business,3161,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,building society savings agreement/ life insurance,31,none,s46103,2018/11/18,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,others,18424,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/ life insurance,32,bank,w91695,2018/3/18,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,1
no checking account,10,existing credits paid back duly till now,car (used),2848,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : married/widowed,co-applicant,2,real estate,32,none,u62071,2018/4/17,own,1,skilled employee / official,2,none,yes,0
... < 0 DM,6,existing credits paid back duly till now,car (new),14896,... < 100 DM,... >= 7 years,1,male : married/widowed,none,4,unknown / no property,68,bank,Z66679,2018/8/2,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= ... < 500 DM,unemployed,1,male : married/widowed,none,1,building society savings agreement/ life insurance,33,none,d89147,2018/8/10,own,1,skilled employee / official,1,none,yes,1
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,... < 100 DM,... >= 7 years,4,male : married/widowed,none,2,building society savings agreement/ life insurance,39,none,b45358,2018/11/3,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,1817,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,unknown / no property,28,none,v41875,2018/2/25,own,2,skilled employee / official,1,none,yes,0
no checking account,48,delay in paying off in the past,radio/television,12749,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : married/widowed,none,1,"car or other, not in attribute Savings account/bonds",37,none,g36202,2018/11/13,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
